Product Name;Product Description;Product Code (SKU);Categories;Price ($);Status;Hub Diameter;Hub Thickness;Shaft Diameter;Weight;Diameter (INCHES);Diameter (METERS);Pitch (INCHES);Pitch-to-diameter ratio (-);Color;UPC Code;Product Weight (NOT for Shipping Calculations) (LBS) ;Product Weight (NOT for Shipping Calculations) (grams) 
5x3;049 Free Flight;LP05030;Free Flight, Sport;2.48; ;0.65 in.;0.32 in.;3/16 in.;0.21 oz.;5;0.127;3;0.6000;Grey;6.87E+11;0.0131;5.9
5.1x5.0E-B4;"FPV Racing Bundle (5.1x5.0E and 5.1x5.0EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP05150E-B4;"Multi Rotor (Electric Only), Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";5.36; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5.1;0.1295;5;0.9804;GREY;6.87E+11;0.0352;16
5.1x4.5E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05145E;Thin Electric;2.43; ;0.50 in.;0.34 in.;1/4 in.;0.18 oz.;5.1;0.1295;4.5;0.8824;Grey;6.87E+11;0.0113;5.1
5.2x6.0E-B4;"FPV Racing Bundle (5.2x6.0E and 5.2x6.0EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)";LP05260E-B4;"Multi Rotor (Electric Only), Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";5.36; ;0.50 in.;0.28 in.;5 mm;0.14 oz.;5.2;0.1321;6;1.1538;Grey;6.87E+11;0.0352;16
5.25x6.25EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP053625EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);7.43; ;0.50 in.;0.30 in.;1/4 in.;0.11 oz.;5.25;0.1334;6.25;1.1905;Black;6.87E+11;0.0069;3.1
5.25x6.25E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP053625E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;0.1334;6.25;1.1905;Grey;6.87E+11;0.0088;4
5.25x5.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05355E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;0.1334;5.5;1.0476;Grey;6.87E+11;0.0088;4
5.25x4.75E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP053475E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.25;0.1334;4.75;0.9048;Grey;6.87E+11;0.0088;4
5.5x7.0;10-15 Pylon;LP05570;Pylon Racing;2.48;;0.65 in.;0.40 in.;3/16 in.;0.28 oz.;5.5;0.1397;7;1.2727;Grey;6.87E+11;0.0176;8
5.5x6.5EC;"Speed 400 Electric Carbon
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF
Material: 40% Carbon / 60% Nylon";LP05565EC;Speed 400 (Electric Only), Carbon Fiber (Electric Only);7.43; ;0.50 in.;0.28 in.;1/4 in.;0.11 oz.;5.5;0.1397;6.5;1.1818;Black;6.87E+11;0.0069;3.1
5.5x6.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05565E;Speed 400 (Electric Only);2.43; ;0.50 in.;0.28 in.;1/4 in.;0.14 oz.;5.5;0.1397;6.5;1.1818;Grey;6.87E+11;0.0088;4
5.5x4.7E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05547E;Thin Electric, Speed 400 (Electric Only);2.43; ;0.50 in.;0.27 in.;1/4 in.;0.14 oz.;5.5;0.1397;4.7;0.8545;Grey;6.87E+11;0.0088;4
5.5x4.5EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05545EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;0.1397;4.5;0.8182;Grey;6.87E+11;0.0088;4
5.5x4.5E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP05545E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.43; ;0.50 in.;0.30 in.;1/4 in.;0.14 oz.;5.5;0.1397;4.5;0.8182;Grey;6.87E+11;0.0088;4
5.5x2.5 ;049 Free Flight;LP05525;Free Flight, Sport;2.48; ;0.65 in.;0.31 in.;3/16 in.;0.25 oz.;5.5;0.1397;2.5;0.4545;Grey;6.87E+11;0.0156;7.1
5.5x2 ;049 Free Flight;LP05520;Free Flight, Sport;2.48; ;0.65 in.;0.31 in.;3/16 in.;0.25 oz.;5.5;0.1397;2;0.3636;Grey;6.87E+11;0.0156;7.1
5.7x3 ;"049 Free Flight
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP05730;Free Flight, Sport;2.48; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;5.7;0.1448;3;0.5263;Grey;6.87E+11;0.0113;5.1
6x6EP;"Thin Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06060EP;Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation), FPV Racing / Freestyle;2.47; ;0.50 in.;0.26 in.;1/4 in.;0.18 oz.;6;0.1524;6;1.0000;Grey;6.87E+11;0.0113;5.1
6x6E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06060E;Thin Electric, Multi Rotor (Electric Only), FPV Racing / Freestyle;2.47; ;0.50 in.;0.26 in.;1/4 in.;0.18 oz.;6;0.1524;6;1.0000;Grey;6.87E+11;0.0113;5.1
6x5.5E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06055E;Thin Electric;2.47; ;0.50 in.;0.26 in.;1/4 in.;0.18 oz.;6;0.1524;5.5;0.9167;Grey;6.87E+11;0.0113;5.1
6x5;"Sport
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPARM12SF";LP06050;Sport;2.54;;0.65 in.;0.33 in.;1/4 in.;0.25 oz.;6;0.1524;5;0.8333;Grey;6.87E+11;0.0154;7
6x4EP;"Speed 400 Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06040EP;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation);2.47; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;0.1524;4;0.6667;Grey;6.87E+11;0.0113;5.1
6x4E-B4;"Speed 400 - FPV Racing Bundle (6x4E and 6x4EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)";LP06040E-B4;"Bundle (2 CW &amp; 2 CCW), FPV Racing / Freestyle";5.76; ;0.50 in.;0.25 in.;5 mm;0.18 oz.;6;0.1524;4;0.6667;Grey;6.87E+11;0.0452;20.5
6x4E;"Speed 400 Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP06040E;Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only);2.47; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;0.1524;4;0.6667;Grey;6.87E+11;0.0113;5.1
6x4.1SF;"Slow Flyer Indoor 3D
For Indoor 3D Aerobatics";LP06041SF;Indoor 3D;2.37; ;0.50 in.;0.16 in.;5.5 mm;0.11 oz.;6;0.1524;4.1;0.6833;Grey;6.87E+11;0.0066;3
6x4 ;"Sport
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP06040;Sport;2.54; ;0.50 in.;0.25 in.;1/4 in.;0.18 oz.;6;0.1524;4;0.6667;Grey;6.87E+11;0.0113;5.1
6x3R-RH;"Reversible ESC - RH, 2 Pack
3D Reversible ESC
Includes two RH rotation propellers and two sets of adapter rings from LPARM12SF";LP06030R-RH;Multi Rotor (Electric Only), 3D - Reversible ESC;3.19; ;0.50 in.;0.27 in.;5 mm;0.14 oz.;6;0.1524;3;0.5000;Grey;6.87E+11;0.0176;8
6x3R-LH;"Reversible ESC - LH, 2 Pack
3D Reversible ESC
Includes two LH rotation propellers and two sets of adapter rings from LPARM12SF";LP06030R-LH;Multi Rotor (Electric Only), 3D - Reversible ESC;3.19; ;0.50 in.;0.27 in.;5 mm;0.14 oz.;6;0.1524;3;0.5000;Grey;6.87E+11;0.0176;8
6x3F;"Folding Electric Propeller Blades
Use FH35mm-6 (LPFH2-6) Hub - not included";LP06030F;Folding (Electric Only);3.46; ;NA;See LPFH;See LPFH;0.14 oz.;6;0.1524;3;0.5000;Grey;6.87E+11;0.0088;4
6x3.1SF;"Slow Flyer Indoor 3D
For Indoor 3D Aerobatics";LP06031SF;Indoor 3D;2.37; ;0.50 in.;0.16 in.;5.5 mm;0.11 oz.;6;0.1524;3.1;0.5167;Grey;6.87E+11;0.0066;3
6x3 ;049 Free Flight;LP06030;Free Flight, Sport;2.54; ;0.65 in.;0.33 in.;3/16 in.;0.28 oz.;6;0.1524;3;0.5000;Grey;6.87E+11;0.0175;7.9
6x2 ;049 Free Flight;LP06020;Free Flight, Sport;2.54; ;0.65 in.;0.32 in.;3/16 in.;0.28 oz.;6;0.1524;2;0.3333;Grey;6.87E+11;0.0175;7.9
6.3x4;15 Combat;LP06340;Pylon Combat;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.3;0.16;4;0.6349;Grey;6.87E+11;0.0244;11.1
6.5x7.5;10-15 Pylon;LP06575;Pylon Racing;2.59;;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;7.5;1.1538;Grey;6.87E+11;0.0244;11.1
6.5x7.0;10-15 Pylon;LP06570;Pylon Racing;2.59;;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;7;1.0769;Grey;6.87E+11;0.0244;11.1
6.5x6.5;10-15 Pylon;LP06565;Pylon Racing;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;6.5;1.0000;Grey;6.87E+11;0.0244;11.1
6.5x6.0;10-15 Pylon;LP06560;Pylon Racing;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;6;0.9231;Grey;6.87E+11;0.0244;11.1
6.5x5.5;10-15 Pylon;LP06555;Pylon Racing;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;5.5;0.8462;Grey;6.87E+11;0.0244;11.1
6.5x5.0;10-15 Pylon;LP06550;Pylon Racing;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;5;0.7692;Grey;6.87E+11;0.0244;11.1
6.5x3.7;15 Combat;LP06537;Pylon Combat;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;3.7;0.5692;Grey;6.87E+11;0.0244;11.1
6.5x2.9;10 Free Flight;LP06529;Free Flight;2.59; ;0.65 in.;0.40 in.;3/16 in.;0.39 oz.;6.5;0.1651;2.9;0.4462;Grey;6.87E+11;0.0244;11.1
7x9 ;Sport;LP07090;Sport;2.65; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;9;1.2857;Grey;6.87E+11;0.0288;13.1
7x8 ;Sport;LP07080;Sport;2.65; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;8;1.1429;Grey;6.87E+11;0.0288;13.1
7x7E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP07070E;Thin Electric;2.58;;0.50 in.;0.34 in.;1/4 in.;0.28 oz.;7;0.1778;7;1.0000;Grey;6.87E+11;0.0176;8
7x7 ;Sport;LP07070;Sport;2.65; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;7;1.0000;Grey;6.87E+11;0.0288;13.1
7x6W;20 Racing Wide Blade;LP07060W;Pylon Racing;2.7; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0288;13.1
7x6SF;"Slow Flyer
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP07060SF;Slow Fly (Electric Only);2.47; ;0.50 in.;0.32 in.;1/4 in.;0.18 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0113;5.1
7x6P ;Sport Pusher;LP07060P;Sport, Pusher (for IC Engines);2.65; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0288;13.1
7x6F;"Folding Electric Propeller Blades
Use FH45mm-6 (LPFH3-6) Hub - not included";LP07060F;Folding (Electric Only);3.66; ;NA;See LPFH;See LPFH;0.18 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0113;5.1
7x6EP;"Thin Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP07060EP;Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation);2.58; ;0.50 in.;0.33 in.;1/4 in.;0.28 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0176;8
7x6E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP07060E;Thin Electric, Multi Rotor (Electric Only);2.58; ;0.50 in.;0.33 in.;1/4 in.;0.28 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0176;8
7x6 ;Sport;LP07060;Sport;2.65; ;0.65 in.;0.41 in.;3/16 in.;0.46 oz.;7;0.1778;6;0.8571;Grey;6.87E+11;0.0288;13.1
7x5SF;"Slow Flyer
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP07050SF;Slow Fly (Electric Only);2.47; ;0.50 in.;0.35 in.;1/4 in.;0.18 oz.;7;0.1778;5;0.7143;Grey;6.87E+11;0.0113;5.1
7x5EP;"Thin Electric Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP07050EP;Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation);2.58; ;0.50 in.;0.33 in.;1/4 in.;0.28 oz.;7;0.1778;5;0.7143;Grey;6.87E+11;0.0176;8
7x5E-B4;"Quad-Copter Bundle (7x5E and 7x5EP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings (optional)
Includes four sets of rings from LPARM12SF (3mm, 5mm, 6mm,)";LP07050E-B4;"Bundle (2 CW &amp; 2 CCW)";6.72; ;0.50 in.;0.33 in.;5 mm;0.28 oz.;7;0.1778;5;0.7143;Grey;6.87E+11;0.0704;31.9
7x5E;"Thin Electric
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF and LPARM12SF";LP07050E;Thin Electric, Multi Rotor (Electric Only);2.58; ;0.50 in.;0.33 in.;1/4 in.;0.28 oz.;7;0.1778;5;0.7143;Grey;6.87E+11;0.0176;8
7x5 ;Sport;LP07050;Sport;2.65; ;0.65 in.;0.38 in.;3/16 in.;0.39 oz.;7;0.1778;5;0.7143;Grey;6.87E+11;0.0244;11.1
7x4SFP;"Slow Flyer Pusher
Reverse Rotation
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP07040SFP;Multi Rotor (Electric Only), Slow Fly (Electric Only), Slow Fly Reverse Rotation (Left Hand Rotation);2.47; ;0.50 in.;0.32 in.;1/4 in.;0.18 oz.;7;0.1778;4;0.5714;Grey;6.87E+11;0.0113;5.1
7x4SF-B4;"Slow Flyer
Quad-Copter Bundle (7x4SF and 7x4SFP)
Package contains four propellers (2 standard rotation and 2 reverse rotation)
Use LPAR18SF or LPARM12SF adapter rings
Includes four sets of rings from LPARM12SF (3mm, 5mm, 6mm,)";LP07040SF-B4;"Bundle (2 CW &amp; 2 CCW), Slow Fly (Electric Only)";7.13; ;0.50 in.;0.32 in.;1/4 in.;0.18 oz.;7;0.1778;4;0.5714;Grey;6.87E+11;0.0452;20.5
7x4SF;"Slow Flyer
Use LPAR18SF or LPARM12SF adapter rings
Includes one set of rings from LPAR18SF";LP07040SF;Multi Rotor (Electric Only), Slow Fly (Electric Only);2.47; ;0.50 in.;0.32 in.;1/4 in.;0.18 oz.;7;0.1778;4;0.5714;Grey;6.87E+11;0.0113;5.1
